id;siege;siege_encode;id1;impl;premier;compte;uaientitemere;identifiantunite;nomlong;nomcourt;nom_encode;description;rcr;typebibliotheque;adresse_adresse;adresse_adressecompl;adresse_codepostal;adresse_ville;adresse_pays;geo;internet_web;internet_info;internet_conta;internet_formu;internet_rss;internet_blog;internet_wiki;internet_masto;internet_faceb;internet_twitt;internet_youtu;internet_daily;internet_vimeo;internet_peris;internet_insta;internet_flick;internet_pinte;internet_linke;internet_googl;internet_viade;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;regrgp_nom;fd_id;logo_scd;wall_rss;wall_faceb;wall_twitt;wall_youtu;wall_vimeo;wall_flick;wall_pinte;wall_googl;noctambuplus
0752736S;Service Commun de la Documentation (SCD) de l'Université Paris Descartes;Service%20Commun%20de%20la%20Documentation%20%28SCD%29%20de%20l%27Universit%E9%20Paris%20Descartes;0752736S-06;0752736S-06-1;Oui;1;0751721N;Un06;Bibliothèque d'Odontologie;;Biblioth%E8que%20d%27Odontologie;;920492101;;1 rue Maurice Arnoux;;92120;Montrouge;;48.82149514965841,2.31426536441802;http://www.bu.parisdescartes.fr/;http://parisdescartes.libguides.com/les_bibliotheques/montrouge;bumontrouge@bu.parisdescartes.fr;http://parisdescartes.libguides.com/contact;;;;;;;;;;;;;;;;;92049;Montrouge;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;Île-de-France;FD111;;;;;;;;;;
0690246T;Service commun de la documentation, Université Claude Bernard Lyon 1;Service%20commun%20de%20la%20documentation%2C%20Universit%E9%20Claude%20Bernard%20Lyon%201;0690246T-15;0690246T-15-1;Oui;1;0691774D;UN15;Bibliothèque IUT - Bourg en Bresse;;Biblioth%E8que%20IUT%20%2D%20Bourg%20en%20Bresse;;;bibliothèque associée;71 rue Peter Fink;;1000;BOURG-EN-BRESSE CEDEX;;46.21510106620616,5.24158606878666;http://portaildoc.univ-lyon1.fr;http://portaildoc.univ-lyon1.fr/bibliotheques/bibliotheque-d-iut-du-site-bourg-en-bresse-758518.kjsp?RH=1333485436286#.WXmw7VJlKUk;iutbourg.bibliotheque@univ-lyon1.fr;;;;;;;;;;;;;;;;;;1053;Bourg-en-Bresse;UU01501;Bourg-en-Bresse;D001;Ain;A10;Lyon;R84;Auvergne-Rhône-Alpes;Province;FD111;0690246T.jpg;;;;;;;;;
0941683U;SCD Université Paris Est Créteil;SCD%20Universit%E9%20Paris%20Est%20Cr%E9teil;0941683U-19;0941683U-19-1;Oui;1;0941111X;UN19;Bibliothèque de l'ESPE - Site de Saint-Denis;BU ESPE Saint-Denis;Biblioth%E8que%20de%20l%27ESPE%20%2D%20Site%20de%20Saint%2DDenis;;930662302;;place du 8 mai 1945;BP 85;93203;Saint-Denis;;48.94007246946428,2.352238909075708;http://bibliotheque.u-pec.fr/;http://bibliotheque.u-pec.fr/vos-bibliotheques/espe/saint-denis/bibliotheque-de-saint-denis-254121.kjsp?RH=1216717935941;web-scd@u-pec.fr;;;;;;https://www.facebook.com/UPECBibliothequesESPE/?ref=hl;;;;;;;;;;;;93066;Saint-Denis;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;Île-de-France;FD111;0941683U.jpg;;UPECBibliothequesESPE;;;;;;;
0941683U;SCD Université Paris Est Créteil;SCD%20Universit%E9%20Paris%20Est%20Cr%E9teil;0941683U-16;0941683U-16-1;Oui;1;0941111X;UN16;Bibliothèque de l'ESPE - site de Bonneuil-sur-Marne;BU ESPE Bonneuil;Biblioth%E8que%20de%20l%27ESPE%20%2D%20site%20de%20Bonneuil%2Dsur%2DMarne;;940112301;;Rue Jean Macé;entrée rue Jean Zay;94861;Bonneuil-sur-Marne;;48.76523386514474,2.483535464418082;http://bibliotheque.u-pec.fr/;http://bibliotheque.u-pec.fr/vos-bibliotheques/espe/bonneuil-sur-marne/bibliotheque-de-bonneuil-sur-marne-254118.kjsp?RH=1216717935941;web-scd@u-pec.fr;;;;;;https://www.facebook.com/UPECBibliothequesESPE/?ref=hl;;;;;;;;;;;;94011;Bonneuil-sur-Marne;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;Île-de-France;FD111;0941683U.jpg;;UPECBibliothequesESPE;;;;;;;
0141110F;Université de Caen Normandie - Service commun de la documentation;Universit%E9%20de%20Caen%20Normandie%20%2D%20Service%20commun%20de%20la%20documentation;0141110F-13;0141110F-13-1;Oui;1;0141408E;UN13;Bibliothèque des Sciences de l'Homme - Pierre Barbéris;;Biblioth%E8que%20des%20Sciences%20de%20l%27Homme%20%2D%20Pierre%20Barb%E9ris;;141182202;bibliothèque associée;Esplanade de la Paix;Campus 1, Bâtiment G, CS 14032;14032;Caen Cedex 5;;49.19218385124671,-0.36242813226317505;http://documentation.unicaen.fr/;http://documentation.unicaen.fr/Default/bib-sc-de-lhomme.aspx;;http://documentation.unicaen.fr/Default/jai-une-question.aspx;;http://documentation.unicaen.fr/Default/blogs-des-bu.aspx;https://fr.wikipedia.org/wiki/Universit%C3%A9_Caen-Normandie;;https://fr-fr.facebook.com/unicaen;https://twitter.com/universite_caen;http://www.youtube.com/channel/UCGRjIzuLkwSGRGLVwtC2sOQ;;https://vimeo.com/unicaen;;https://www.instagram.com/universitecaen/;http://www.flickr.com/photos/97346339@N05/;;;;;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;Province;FD111;0141110F.png;;;;channel/UCGRjIzuLkwSGRGLVwtC2sOQ;;97346339@N05;;;
0595346R;Service commun de documentation de l'Université de Valenciennes et du Hainaut Cambrésis;Service%20commun%20de%20documentation%20de%20l%27Universit%E9%20de%20Valenciennes%20et%20du%20Haina;0595346R-01;0595346R-01-1;Oui;1;0593279U;Un01;Service Commun de Documentation. Université de Valenciennes et du Hainaut Cambrésis. Bibliothèque universitaire des Tertiales;SCD UVHC. BU Tertiales;Service%20Commun%20de%20Documentation%2E%20Universit%E9%20de%20Valenciennes%20et%20du%20Hainaut%20C;"La Bibliothèque Universitaire des Tertiales est située au sein du bâtiment Ronzier,  sur le Campus universitaire des Tertiales du centre ville de Valenciennes,  un des sites de l'Université de Valenciennes et du Hainaut Cambrésis.
C'est le 2e site principal  du SCD.
Domaines de formation : Droit, économie, management, gestion, administration. IAE, IPAG. 
Niveaux : DUT, Licence, Licence professionnelle, Master,  Doctorat
Par ailleurs les collections et les services répondent également aux besoins des enseignants-chercheurs du laboratoire IDP. 
Surface : 2600 m2. 360 places assises.
2 salles de travail en groupe, 1 Learning Lab.
64h d'ouverture hebdomadaires";596062102;;Boulevard Harpignies;Caserne Ronzier;59313;Valenciennes cedex 9;;50.362909243337114,3.527884703735367;http://www.univ-valenciennes.fr/SCD;http://www.univ-valenciennes.fr/SCD/bibliotheque-universitaire-des-tertiales#;bu-uvhc@univ-valenciennes.fr;;;;;;https://www.facebook.com/Biblioth%C3%A8ques-de-lUVHC-827915657303367/;https://twitter.com/BU_UVHC;;;;;;;;;;;59606;Valenciennes;UU59701;Valenciennes;D059;Nord;A09;Lille;R32;Hauts-de-France;Province;FD111;0595346R.png;;Bibliothèques-de-lUVHC-827915657303367;BU_UVHC;;;;;;Oui
0595785T;Service Commun de Documentation de l'Université de Lille;Service%20Commun%20de%20Documentation%20de%20l%27Universit%E9%20de%20Lille;0595785T-17;0595785T-17-1;Oui;1;0597065J;UN06;Bibliothèques études germaniques;;Biblioth%E8ques%20%E9tudes%20germaniques;;590092210;bibliothèque associée;;Domaine universitaire du Pont de Bois, Bât B salle 5.120;59650;Villeneuve d'Ascq;;50.627437,3.124666;;https://www.univ-lille3.fr/bibliotheques/reseau/etudes-germaniques/;;;;;;;;;;;;;;;;;;;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;Province;FD111;0595785T.jpg;;;;;;;;;
0595785T;Service Commun de Documentation de l'Université de Lille;Service%20Commun%20de%20Documentation%20de%20l%27Universit%E9%20de%20Lille;0595785T-16;0595785T-16-1;Oui;1;0597065J;UN05;Bibliothèque Eric Weil;;Biblioth%E8que%20Eric%20Weil;;590092305;bibliothèque associée;rue du barreau;Domaine universitaire du Pont de Bois, Bâtiment A, salle A3.365 et A 373;59650;Villeneuve d'Ascq;;50.626753,3.125998;http://eric-weil.biblio.univ-lille3.fr/;https://www.univ-lille3.fr/bibliotheques/reseau/eric-weil/;;;;;;;;;;;;;;;;;;;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;Province;FD111;0595785T.jpg;;;;;;;;;
0595785T;Service Commun de Documentation de l'Université de Lille;Service%20Commun%20de%20Documentation%20de%20l%27Universit%E9%20de%20Lille;0595785T-41;0595785T-41-1;Oui;1;0597065J;UN09;Bibliothèque Universitaire de la Faculté de Chirurgie Dentaire de l'Université de Lille;Bibliothèque de Chirurgie Dentaire;Biblioth%E8que%20Universitaire%20de%20la%20Facult%E9%20de%20Chirurgie%20Dentaire%20de%20l%27Univers;;593502202;bibliothèque associée;Place de Verdun;;59000;LILLE;;50.613372,3.036226;http://chirdent.univ-lille2.fr/bibliotheque/;http://chirdent.univ-lille2.fr/bibliotheque/;bu-chirdent@univ-lille2.fr;;;;;;;;;;;;;;;;;;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;Province;FD111;0595785T.jpg;;;;;;;;;
0370853B;SCD Université  de Tours;SCD%20Universit%E9%20%20de%20Tours;0370853B-06;0370853B-06-1;Oui;1;0370800U;UN06;Centre de documentation IUT;;Centre%20de%20documentation%20IUT;Domaines couverts : informatique, sciences de l'information, psychologie, sociologie, commerce, droit, économie, gestion, biologie, physique, chimie, alimentation, électronique, sport...;372612206;;29 rue du Pont Volant;;37082;Tours cédex 2;;47.40833335670003,0.7022850429916611;https://www.univ-tours.fr/bibliotheques/;https://www.univ-tours.fr/bibliotheques/centre-de-documentation-de-l-iut-de-tours-nord-607194.kjsp?RH=1512926815310;bibiutnord@univ-tours.fr;;;;;;https://www.facebook.com/pages/Centre-de-documentation-de-lIUT-de-Tours/289743247818182;;;;;;;;;;;;37261;Tours;UU37701;Tours;D037;Indre-et-Loire;A18;Orléans-Tours;R24;Centre-Val de Loire;Province;FD111;;;Centre-de-documentation-de-lIUT-de-Tours-289743247818182;;;;;;;
0542400R;Direction de la Documentation et de l'Edition;Direction%20de%20la%20Documentation%20et%20de%20l%27Edition;0542400R-12;0542400R-12-1;Oui;1;0542493S;UN12;BU Ecoles Ingénieurs GM-GSI;;BU%20Ecoles%20Ing%E9nieurs%20GM%2DGSI;;543952103;;6, rue Bastien-Lepage;;54000;Nancy;;48.696072,6.193282;https://bu.univ-lorraine.fr/;http://bu.univ-lorraine.fr/bibliotheques/ingenieurs-gm-gsi;;;;;;;;;;;;;;;;;;;54395;Nancy;UU54701;Nancy;D054;Meurthe-et-Moselle;A12;Nancy-Metz;R44;Grand Est;Province;FD111;;;;;;;;;;
