Identifiant Museofile;Region administrative;Commune;Nom officiel du musee;Adresse;URL;Latitude;Longitude
M0967;Auvergne-Rhone-Alpes;Lochieu;musee du Bugey-Valromey;3 rue Centrale;patrimoines.ain.fr/n/musee-du-bugey-valromey/n:970;45,930633;5,727664
M0964;Auvergne-Rhone-Alpes;Bourg-en-Bresse;musees des pays de l'Ain;34, rue General Delestraint;www.ain.fr/solutions-services-infos-pratiques/culture-patrimoine/visiter-musees/;46,196543;5,219217
M0965;Auvergne-Rhone-Alpes;Briord;musee de la societe d'histoire et d'archeologie;;patrimoines.ain.fr/n/musee-d-archeologie-de-briord/n:1165;45,781653;5,458569
M0971;Auvergne-Rhone-Alpes;Pont-de-Vaux;musee Chintreuil;66 rue Marechal de Lattre-de-Tassigny;www.musee-chintreuil.com/;46,430076;4,938125
M0974;Auvergne-Rhone-Alpes;Seyssel;musee du bois;place de la Republique;;45,959038;5,831489
M0966;Auvergne-Rhone-Alpes;Izernore;musee archeologique;Place de l'Eglise;www.archeologie-izernore.com/pages/musee_historique.htm;46,219853;5,555588
M0968;Auvergne-Rhone-Alpes;Nantua;musee de la resistance et de la deportation de l'Ain;3 montee de l'abbaye;patrimoines.ain.fr/n/musee-de-la-resistance-et-de-la-deportation/n:809;46,152378;5,608744
M0970;Auvergne-Rhone-Alpes;Perouges;musee du vieux Perouges;place du Tilleul;;45,903299;5,179502
M0973;Auvergne-Rhone-Alpes;Saint-Paul-de-Varax;musee Louis Jourdan;place Louis-Jourdan;www.mairie-saintpauldevarax.fr/fr/information/35728/musee-louis-jourdan;46,098973;5,129264
M0975;Auvergne-Rhone-Alpes;Treffort-Cuisiat;musee du Revermont;40 rue Principale;patrimoines.ain.fr/n/musee-du-revermont/n:811;46,209952;5,243955
M1082;Auvergne-Rhone-Alpes;Villars-les-Dombes;musee de la Dombes;34 rue du General-Delestraint;www.museedeladombes.fr/;46,005784;5,032151
M0963;Auvergne-Rhone-Alpes;Bourg-en-Bresse;musee de Brou;63 boulevard de Brou;www.monastere-de-brou.fr/#;46,196549;5,236521
M0969;Auvergne-Rhone-Alpes;Oyonnax;musee du peigne et de la plasturgie;Place Georges Pompidou;www.oyonnax.fr/mes-loisirs/culture/musee-du-peigne-et-de-la-plasturgie/;46,26101938;5,648075547
M0972;Auvergne-Rhone-Alpes;Saint-Cyr-sur-Menthon;musee de la Bresse - domaine des Planons;987 chemin des Seiglieres;patrimoines.ain.fr/n/domaine-des-saveurs-les-planons/n:810;46,282489;4,986729
M0109;Auvergne-Rhone-Alpes;Vichy;musee des arts africains et asiatiques (maison du missionnaire);16, avenue Thermale;musee-aaa.com/;46,128104;3,419803
M0108;Auvergne-Rhone-Alpes;Souvigny;musee Saint-Marc;place Aristide Briand;www.ville-souvigny.com/Musee/index.html;46,534866;3,192356
M0101;Auvergne-Rhone-Alpes;Beaulon;musee rural de la Sologne bourbonnaise;11 route du donjon;association-csb.fr/musee/;46,466871;3,748142
M0103;Auvergne-Rhone-Alpes;Gannat;musee municipal;Esplanade Pierre Roch Jurien de la Graviere;www.ville-gannat.fr/-Musee-.html;46,10177624;3,196513714
M0104;Auvergne-Rhone-Alpes;Montluçon;musee des musiques populaires (vieux chateau);3 rue Notre Dame;www.mupop.fr/;46,341009;2,605724
M0102;Auvergne-Rhone-Alpes;Cerilly;musee Charles-Louis Philippe;5 rue Charles-Louis-Philippe;musees-bourbonnais.fr/musees/maison-musee-charles-louis-philippe/;46,617913;2,823245
